epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1072,1.30276,1.12924,1.27303,0.7023,0.37681,0.41656,0.26143,1.85469,2.61755,1.73299,0.08218,0.00018,0.00018
2,44.1726,1.31181,1.16682,1.2598,0.63688,0.5038,0.54318,0.32946,1.75893,2.03643,1.63137,0.0633627,0.000362674,0.000362674
3,65.9861,1.34113,1.24322,1.28454,0.67922,0.5529,0.62116,0.37323,1.6955,1.60713,1.59684,0.0445378,0.000537824,0.000537824
4,86.9857,1.3076,1.12138,1.25513,0.61937,0.54539,0.61475,0.37613,1.72939,1.69218,1.64705,0.0257055,0.00070545,0.00070545
5,111.264,1.34454,1.15046,1.25701,0.64393,0.59266,0.63987,0.39397,1.69174,1.74096,1.65199,0.00686555,0.000865552,0.000865552
6,131.522,1.37906,1.17077,1.30248,0.70331,0.59484,0.64535,0.38566,1.68755,1.6432,1.61365,0.000901,0.000901,0.000901
7,155.1,1.3465,1.14357,1.28532,0.63857,0.56736,0.60486,0.37054,1.72535,1.79613,1.66999,0.0008812,0.0008812,0.0008812
8,175.034,1.3326,1.19235,1.27383,0.67992,0.56538,0.62508,0.38473,1.69057,1.63641,1.62315,0.0008614,0.0008614,0.0008614
9,196.822,1.32638,1.14157,1.28241,0.72114,0.57202,0.63738,0.40013,1.69477,1.48201,1.62372,0.0008416,0.0008416,0.0008416
10,217.259,1.30483,1.12105,1.26052,0.67827,0.65194,0.68881,0.43975,1.66014,1.48514,1.59192,0.0008218,0.0008218,0.0008218
11,239.336,1.35353,1.1542,1.28855,0.76351,0.67718,0.73102,0.46594,1.65812,1.33507,1.55989,0.000802,0.000802,0.000802
12,260.223,1.26483,1.0702,1.23575,0.70224,0.61251,0.6642,0.4247,1.72696,1.41563,1.65914,0.0007822,0.0007822,0.0007822
13,280.801,1.3011,1.08505,1.27015,0.75321,0.62244,0.70751,0.44287,1.67367,1.30388,1.59518,0.0007624,0.0007624,0.0007624
14,301.833,1.28981,1.10363,1.27667,0.70654,0.5947,0.63652,0.41544,1.63501,1.45616,1.54593,0.0007426,0.0007426,0.0007426
15,321.927,1.33434,1.09562,1.29149,0.71094,0.61161,0.67541,0.42819,1.65778,1.32336,1.60091,0.0007228,0.0007228,0.0007228
16,342.878,1.27462,1.05027,1.25997,0.7305,0.62387,0.67753,0.42772,1.67743,1.36473,1.63407,0.000703,0.000703,0.000703
17,362.63,1.25903,1.04061,1.26028,0.74564,0.61041,0.69481,0.4381,1.59235,1.39154,1.57511,0.0006832,0.0006832,0.0006832
18,384.384,1.26246,1.02552,1.25969,0.70688,0.59795,0.66605,0.42752,1.69082,1.52424,1.64346,0.0006634,0.0006634,0.0006634
19,404.237,1.27678,1.01003,1.24671,0.68786,0.68629,0.73266,0.44858,1.65008,1.25084,1.58838,0.0006436,0.0006436,0.0006436
20,424.634,1.26963,0.98293,1.24141,0.70808,0.69265,0.72937,0.45557,1.61218,1.38772,1.5472,0.0006238,0.0006238,0.0006238
21,444.178,1.26784,1.00458,1.26343,0.70856,0.69727,0.7364,0.4689,1.63649,1.18677,1.56423,0.000604,0.000604,0.000604
22,465.911,1.25626,0.99841,1.23585,0.71933,0.64388,0.69227,0.44145,1.59017,1.23515,1.52903,0.0005842,0.0005842,0.0005842
23,485.518,1.21709,0.96378,1.22876,0.74872,0.64228,0.72419,0.4652,1.59815,1.21598,1.52554,0.0005644,0.0005644,0.0005644
24,505.931,1.19831,0.93228,1.23202,0.77985,0.63483,0.71343,0.44241,1.66315,1.19268,1.58955,0.0005446,0.0005446,0.0005446
25,526.687,1.20589,0.94538,1.23151,0.76656,0.65037,0.71453,0.44617,1.64939,1.29641,1.58817,0.0005248,0.0005248,0.0005248
